,x,y,z,counter,delta
550975,1.499865000000005,0.4998750000000047,3.999840000000006,312606.0,18
550980,1.499865000000005,0.4998750000000047,6.499815000000005,154041.0,18
550999,1.499865000000005,0.9998700000000048,3.999840000000006,34025.0,18
551004,1.499865000000005,0.9998700000000048,6.499815000000005,155654.0,18
551028,1.499865000000005,1.499865000000005,6.499815000000005,113551.0,18
601428,-1.500104999999996,-2.000099999999996,6.499815000000005,7943.0,20
601452,-1.500104999999996,-1.500104999999996,6.499815000000005,144043.0,20
601471,-1.500104999999996,-1.0001099999999958,3.999840000000006,80358.0,20
601476,-1.500104999999996,-1.0001099999999958,6.499815000000005,140078.0,20
601495,-1.500104999999996,-0.5001149999999956,3.999840000000006,280989.0,20
601500,-1.500104999999996,-0.5001149999999956,6.499815000000005,138223.0,20
601519,-1.500104999999996,-0.0001199999999954,3.999840000000006,275831.0,20
601524,-1.500104999999996,-0.0001199999999954,6.499815000000005,137700.0,20
601543,-1.500104999999996,0.4998750000000047,3.999840000000006,281991.0,20
601548,-1.500104999999996,0.4998750000000047,6.499815000000005,138886.0,20
601567,-1.500104999999996,0.9998700000000048,3.999840000000006,80831.0,20
601572,-1.500104999999996,0.9998700000000048,6.499815000000005,140323.0,20
601596,-1.500104999999996,1.499865000000005,6.499815000000005,144794.0,20
601620,-1.500104999999996,1.9998600000000053,6.499815000000005,8010.0,20
608484,1.499865000000005,-2.000099999999996,6.499815000000005,7943.0,20
608508,1.499865000000005,-1.500104999999996,6.499815000000005,144043.0,20
608527,1.499865000000005,-1.0001099999999958,3.999840000000006,80358.0,20
608532,1.499865000000005,-1.0001099999999958,6.499815000000005,140078.0,20
608551,1.499865000000005,-0.5001149999999956,3.999840000000006,280989.0,20
608556,1.499865000000005,-0.5001149999999956,6.499815000000005,138223.0,20
608575,1.499865000000005,-0.0001199999999954,3.999840000000006,275831.0,20
608580,1.499865000000005,-0.0001199999999954,6.499815000000005,137700.0,20
608599,1.499865000000005,0.4998750000000047,3.999840000000006,281991.0,20
608604,1.499865000000005,0.4998750000000047,6.499815000000005,138886.0,20
608623,1.499865000000005,0.9998700000000048,3.999840000000006,80831.0,20
608628,1.499865000000005,0.9998700000000048,6.499815000000005,140323.0,20
608652,1.499865000000005,1.499865000000005,6.499815000000005,144794.0,20
608676,1.499865000000005,1.9998600000000053,6.499815000000005,8010.0,20
659052,-1.500104999999996,-2.000099999999996,6.499815000000005,52468.0,22
659076,-1.500104999999996,-1.500104999999996,6.499815000000005,130419.0,22
659095,-1.500104999999996,-1.0001099999999958,3.999840000000006,118226.0,22
659100,-1.500104999999996,-1.0001099999999958,6.499815000000005,127768.0,22
659119,-1.500104999999996,-0.5001149999999956,3.999840000000006,255675.0,22
659124,-1.500104999999996,-0.5001149999999956,6.499815000000005,126285.0,22
659143,-1.500104999999996,-0.0001199999999954,3.999840000000006,251234.0,22
659148,-1.500104999999996,-0.0001199999999954,6.499815000000005,125487.0,22
659167,-1.500104999999996,0.4998750000000047,3.999840000000006,255912.0,22
659172,-1.500104999999996,0.4998750000000047,6.499815000000005,125789.0,22
659191,-1.500104999999996,0.9998700000000048,3.999840000000006,118953.0,22
659196,-1.500104999999996,0.9998700000000048,6.499815000000005,127627.0,22
659220,-1.500104999999996,1.499865000000005,6.499815000000005,131350.0,22
659244,-1.500104999999996,1.9998600000000053,6.499815000000005,52807.0,22
666108,1.499865000000005,-2.000099999999996,6.499815000000005,52468.0,22
666132,1.499865000000005,-1.500104999999996,6.499815000000005,130419.0,22
666151,1.499865000000005,-1.0001099999999958,3.999840000000006,118226.0,22
666156,1.499865000000005,-1.0001099999999958,6.499815000000005,127768.0,22
666175,1.499865000000005,-0.5001149999999956,3.999840000000006,255675.0,22
666180,1.499865000000005,-0.5001149999999956,6.499815000000005,126285.0,22
666199,1.499865000000005,-0.0001199999999954,3.999840000000006,251234.0,22
666204,1.499865000000005,-0.0001199999999954,6.499815000000005,125487.0,22
666223,1.499865000000005,0.4998750000000047,3.999840000000006,255912.0,22
666228,1.499865000000005,0.4998750000000047,6.499815000000005,125789.0,22
666247,1.499865000000005,0.9998700000000048,3.999840000000006,118953.0,22
666252,1.499865000000005,0.9998700000000048,6.499815000000005,127627.0,22
666276,1.499865000000005,1.499865000000005,6.499815000000005,131350.0,22
666300,1.499865000000005,1.9998600000000053,6.499815000000005,52807.0,22
716675,-1.500104999999996,-2.000099999999996,5.999820000000007,1812.0,24
716676,-1.500104999999996,-2.000099999999996,6.499815000000005,88221.0,24
716700,-1.500104999999996,-1.500104999999996,6.499815000000005,119501.0,24
716719,-1.500104999999996,-1.0001099999999958,3.999840000000006,150452.0,24
716724,-1.500104999999996,-1.0001099999999958,6.499815000000005,116831.0,24
716743,-1.500104999999996,-0.5001149999999956,3.999840000000006,234105.0,24
716748,-1.500104999999996,-0.5001149999999956,6.499815000000005,115776.0,24
716767,-1.500104999999996,-0.0001199999999954,3.999840000000006,230563.0,24
716772,-1.500104999999996,-0.0001199999999954,6.499815000000005,114900.0,24
716791,-1.500104999999996,0.4998750000000047,3.999840000000006,234809.0,24
716796,-1.500104999999996,0.4998750000000047,6.499815000000005,115938.0,24
716815,-1.500104999999996,0.9998700000000048,3.999840000000006,150071.0,24
